Controller,Longitudinal,GDP_Scenario,Peak_Speed_mps,Speed_Mode,RMS_CTE_m,Peak_CTE_m,RMS_Heading_Err_deg,RMS_Speed_Err_mps,Peak_Speed_Err_mps,Peak_Lon_Dev_m,RMS_Lon_Dev_m,Loop_Time_s,Goal_Reached,Termination,REQ1_Lat_Pass,REQ1_Lon_Pass,Overall_Pass
mpc+pid,pid,GDP-S1,0.5,constant,0.1707,0.3041,25.564,0.0192,0.0823,0.2042,0.1057,400,false,max_travel_time,PASS,PASS,PASS
mpc+pid,pid,GDP-S2,2,constant,0.0599,0.2028,2.0031,0.047,0.8344,0.413,0.0987,178,true,goal_reached,PASS,PASS,PASS
mpc+pid,pid,GDP-S3,3,profile,0.0486,0.1079,8.6219,0.0648,0.8384,0.6424,0.1019,250,false,max_travel_time,PASS,PASS,PASS
mpc+pid,pid,GDP-S3,4,profile,0.067,0.2037,2.2242,0.0893,0.8384,0.7866,0.1558,143.1,true,goal_reached,PASS,PASS,PASS
mpc+pid,pid,GDP-S3,5,profile,0.0686,0.2045,2.2726,0.0967,0.8384,0.859,0.1828,137.35,true,goal_reached,PASS,FAIL,FAIL
mpc+pid,pid,GDP-S3,7,profile,0.0908,0.2802,2.6953,0.118,0.8384,0.9416,0.2603,96.15,true,goal_reached,PASS,FAIL,FAIL
mpc+pid,pid,GDP-S3-EXT,10,constant,13.3851,22.507,54.6193,0.2788,0.9988,1.0866,0.4413,150,false,max_travel_time,FAIL,FAIL,FAIL
mpc+lqr,lqr,GDP-S1,0.5,constant,0.1706,0.3006,25.5771,0.0187,0.0736,0.1213,0.0507,400,false,max_travel_time,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S2,2,constant,0.0601,0.2036,2.0038,0.0375,0.5481,0.244,0.0891,178,true,goal_reached,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S3,3,profile,0.0484,0.1042,8.6016,0.0575,0.6254,0.3453,0.0724,250,false,max_travel_time,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S3,4,profile,0.0669,0.2033,2.2227,0.0541,0.5816,0.3882,0.1223,143.1,true,goal_reached,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S3,5,profile,0.0684,0.2057,2.2675,0.0573,0.6353,0.3979,0.1351,137.3,true,goal_reached,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S3,7,profile,0.0908,0.2786,2.6877,0.0641,0.5481,0.406,0.1888,96.05,true,goal_reached,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S3-EXT,10,constant,13.389,24.7446,55.5347,0.1156,0.6847,0.4685,0.1403,150,false,max_travel_time,FAIL,PASS,FAIL
mpc_combined,none,GDP-S1,0.5,constant,0.0799,0.2983,23.9799,0.072,0.0873,0.2795,0.269,400,false,max_travel_time,PASS,PASS,PASS
mpc_combined,none,GDP-S2,2,constant,0.073,0.2876,1.9919,0.0261,0.4087,0.178,0.0935,177.95,true,goal_reached,PASS,PASS,PASS
mpc_combined,none,GDP-S3,3,profile,0.0861,0.1836,8.5148,0.0673,0.4087,0.8404,0.1489,250,false,max_travel_time,PASS,FAIL,FAIL
mpc_combined,none,GDP-S3,4,profile,0.0807,0.2869,2.216,0.066,0.4087,0.67,0.1567,143.15,true,goal_reached,PASS,PASS,PASS
mpc_combined,none,GDP-S3,5,profile,0.0953,0.288,2.2567,0.0716,0.4087,0.6742,0.1673,137.2,true,goal_reached,PASS,PASS,PASS
mpc_combined,none,GDP-S3,7,profile,0.116,0.345,2.6169,0.0602,0.4087,0.465,0.1842,95.85,true,goal_reached,PASS,PASS,PASS
mpc_combined,none,GDP-S3-EXT,10,constant,1.1972,5.2422,5.6714,0.2095,0.8222,0.8088,0.4344,37.8,true,goal_reached,FAIL,FAIL,FAIL
